sigma,target_feature
0.26,0.00261819055726886
0.27,0.00152414887023796
0.28,4.8251110379589e-05
0.29,5.6012019846041e-06
0.3,2.4225789593092e-05
0.31,2.33267020393197e-05
0.32,6.74585841938937e-06
0.33,13.6121199170389
0.34,13.2644751587168
0.35,12.9553898519454
0.36,12.7633918551298
0.37,12.5647842636724
0.38,12.3082059479502
0.39,12.0760974755306
0.4,11.862956040086
0.41,11.6867478403141
0.42,11.5138105563088
0.43,11.3258967690838
0.44,11.139704147483
0.45,10.9507763860536
0.46,10.8051927063766
0.47,10.6832982071958
0.48,10.5301183254598
0.49,10.3621245916942
0.5,10.2106208429363
0.51,5.6819222285524
0.52,4.18150451393761
0.53,4.02832536091633
0.54,3.62972999852705
0.55,3.46266732091969
0.56,3.27467164144954
